time_stamp	actual_pos_joint_4	actual_pos_joint_5	actual_pos_joint_3	actual_pos_joint_1	actual_pos_joint_2	actual_pos_joint_6	actual_pos_joint_7	actual_vel_joint_4	actual_vel_joint_5	actual_vel_joint_3	actual_vel_joint_1	actual_vel_joint_2	actual_vel_joint_6	actual_vel_joint_7	actual_acc_joint_4	actual_acc_joint_5	actual_acc_joint_3	actual_acc_joint_1	actual_acc_joint_2	actual_acc_joint_6	actual_acc_joint_7	actual_time_from_start	desired_pos_joint_4	desired_pos_joint_5	desired_pos_joint_3	desired_pos_joint_1	desired_pos_joint_2	desired_pos_joint_6	desired_pos_joint_7	desired_vel_joint_4	desired_vel_joint_5	desired_vel_joint_3	desired_vel_joint_1	desired_vel_joint_2	desired_vel_joint_6	desired_vel_joint_7	desired_acc_joint_4	desired_acc_joint_5	desired_acc_joint_3	desired_acc_joint_1	desired_acc_joint_2	desired_acc_joint_6	desired_acc_joint_7	desired_time_from_start
1504619787.711500883	-0.00306796	0.771592	-0.79767	-0.00306796	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.731755018	-0.00306796	0.771592	-0.79767	-0.00306796	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.751857042	-0.00306796	0.771592	-0.79767	-0.00460194	0.803806	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.771759986	-0.00306796	0.771592	-0.79767	-0.00306796	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.793267011	-0.00306796	0.771592	-0.79767	-0.00460194	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.813169002	-0.00306796	0.771592	-0.79767	-0.00460194	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.832663059	-0.00306796	0.771592	-0.79767	-0.00460194	0.80534	-1.59994	-0.00460194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.852597951	-0.00306796	0.771592	-0.79767	-0.00460194	0.803806	-1.59994	-0.00460194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.872879981	-0.00306796	0.771592	-0.79767	-0.00460194	0.80534	-1.59994	-0.00460194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
1504619787.891690015	-0.00306796	0.771592	-0.79767	-0.00460194	0.80534	-1.59994	-0.00306796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000000000	0	0.788798	-0.788798	6.21725e-15	0.828698	-1.5708	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.000000000
